"Source Name","Sub Sources"
"Database","Bulk Uploads, SMS Blast, Whatsapp Blast, Email Blast, Incoming Call, Lead Collection Credai, Sky Living Fresh"
"Digital - SMM","Facebook, Instagram"
"Digital - SEM","Google"
"Digital - Internal","Website, Chat, Incoming Call, lmlhomes_in, Skyliving Internal, Ramesh iconia client, Skyliving Internal Incoming, SL Digital Internal Incoming, FB/Google Incoming call, FB/Google Incoming call , Chennai properties"
"Digital - Portal","MagicBricks, 99 Acres, Housing, Adbricks CPL, Nikhand Solution, Chennai Properties"
"Print & Media","TV Ads, Radio Ads, News Paper, Incoming Call, Stall, Skyliving Print & Media Incoming Calls, The Luxe One Print & Media Incoming Call, Print & Media Arshiya, Print & Media The Luxe One"
"Offline","BTL Activites, Stall Activities, Hoardings, Incoming Call, SONU, Incoming Calls, Stall Activity, Skyliving Incoming Call from Print & media, Skyliving Incoming Call from Hoarding, The Luxe One Hoarding Incoming Call, Outdoor activities"
"Referrals","Vendor Reference, Employee Reference, Customer Reference, Word of Mouth, Iconia_E303_Selvarajan, Customer Reference_Arshiya B407_Mr_Cyril Rajesh, Chakkaravarthi_Lead id #116, Sivakumar_Arshiya B102, Customer Reference_Iconia - E202, Fathima Jaffer, Customer reference_# 25748, League One_D402_Malini / Sasidharan, BALAJI CLIENT REFERAL, Mohamed Tahir_9003883149_Ld id_#171552, Dr_Nagaraju - B-406, Iconia E-301, Periyanna Kumar A-205 Arshiya, Customer reference - Esa League One A-407, Darshan Tambaram, Arshiya_A401_Velubaby, Ram kumar A-403  Sky living, SBI_Bankers, Mr_Keerthivasan B-103, Mrs_ Narmadha Anandraj Luxe one A-103, Dr_Raffiq Iconia & Luxe Customer, Arshiya_B107_Divya Sumesh, Sbi Banker_ Raja_ Senthamizh Selvan, Sarath Chandra siva_9841019880, Arshiya Murali-B 206"
"Channel Partners - Firm","PropLeaf Realty Tech Pvt Ltd, Southzone Realty Consulting Pvt Ltd, Adir Enterprises, Proptiger, Propfix realty, Keystoday Property consultants Pvt Ltd, Nobroker Technologies Private Limited, Twofold Ventures, Propsmile, JLL, The Nest Realtor, Topplayer Realty LLP, Juz Deal, C4 Associates, Happy Homes, Medsea properties, Rs Realty, Verify Assetz, Fortune Folks Realtors, Home Konnect Realty Pvt Ltd, Properticks Realty Info Pvt Ltd, Connection Point, S L V Consultancy, Madras Elite Estate, Xposebrick Realty LLP, Chennai Gated Community"
"Channel Partners - Individual","Mercury Housing, Prop Eller, Muhiba Properties, Cliff Realty, Prop Forest Property Consultant, Propking Realty, Masterpiece Group Realty, Logic Agenz, Rajagopalan D, Varsi Property Consultant, PropEye Ventures, Pick My Home, Instaprop Realty India"
"Channel Partner","Raj Kamal T (PROPMART), Yasser Rahman(919884041884), Guhan _(917745006061), Veeramani _(919080607209), Haffeez _(918248629544), Arunkumar S(919943391817), Venkatesh _(919080071181), Ajay _(917200979098), Muthukumar J _(919150065370), Raj Kamal T(918951856779), Venkatesh _(917550046736), Sheriff Rahman(919551377999), Raj Kamal T(918951469587), Raj Kamal T(917825932004), Vinoth _(919176798903), Krishnakumar T(919003231919), Veeramani _(918925917840), Venkatesh _(918838880685), Saravanan M(919500777110), Surendran G(919342413019), Ameer Khan(919176638880), Raj Kamal T(919940258975), Avinash _(916369482209), Raj Kamal T(918939190456), Veeramani _(917305565455), Joseph _(919003181992), Raj Kamal T(918925132999), Raj Kamal T(919842215324), Propguider _(918807200543), Raj Kamal T(919962338277), Veeramani_(919080607209), Raj Kamal T(919884399776), Selvam _(919176056586), Anbazhagan _(919840483191), Raj Kamal T(918939890094), Anbazhagan _(919677118593), Johnson Paulraj(917904576636), Raj Kamal T(918778045578), Venkatesh _(917397281307), Raj Kamal T(918072782097), Avinash _(919566109077), Arunkumar S(918072946370), Johnson Paulraj(917904579636), Hariharan _(918122992189), Raj Kamal T(918667378831), Sathya Kumar(919940693348), Kishore _(919884669391), Suvindharan _(917305005663), Johnson Paulraj(918189917023), Johnson Paulraj(919080443385), Raj Kamal T(919500090002), Infant Deepak A(918939361958), Johnson Paulraj(918667501249), Sabari _(919840447676), Manoj Sankar(917358506698), Raj Kamal T(919444418125), Raj Kamal T(919080066385), Paul Bhuvaneshwar(917305207260), Raj Kamal T(919578959001), Diana _(919884381230), Rajalakshmi _(919600009458), Mohanraj _(919600041333), Manikandan _(918807211168), Hariharan _(919790764819), Vinoth _(916369122548), Veeramani _(917305096691), Propstepsrealty, Town Estates, Gobroker, Connection Point, Propsmile, Instaprop Realty India, Verify Assetz, V Konnect Realty, My Aasthi, South Zone Reality, MaruthamProp, PROPERTY PLAYBOOK, Propfix Realty, Rose Properties, Proptiger, PROPMART, PROPVISTA, Nobroker Technologies Private Limited, Propeye Ventures, Madras Elite Estate, Property Pistol, Adir Enterprises Paul, Propguider, Rook Realtors, JLL Property, Tora properties, Moon Realtors, Home Bazaar, Chennai Prop Experts, Aetrio Housing, Fortune Folks Realtors, Web Property, The Asset Crew, Topplayer Realty Llp, ASH Property, Chennai Property Services, Promoter property, Ace Realty Connection, My Property Boutique, IBS Realtor, The Best Property, San Global, Home Connect Realty Pvt Ltd, Rajendran, Vertex vision, Srivari Properties, Logic Agenz, Mercury Housing, S Veeramani, Sell Happiness, HOME HELPLINE, Dwell Select, Medsea Properties, Chennai Gated Community, Prop Bazaar, ICONPROP REALTY, Regrob Infrastructure private limited, Kathir Associates, MyPropTeller, MARINA RESIDENCES AND REALTY, Propshine Realty, Jumbo Realty, Saverio Realty Kumar, Right Choice Marketing, Elite Key Props, Dwell Ventures, Reality Tiger"
"Arshiya","Hoarding, word of mouth"
"99acres","99acres_leads, 99acres, 99acres_Incoming"
"Housing","Housing_Leads, Housing"
"Google","RTX League One Slide to Confirm questions Fb_leadgen_587367780563577, Leads, Search-League One- brand, Skyliving_LP, RTX_The_League_One_Google_leads, RTX_The_League_One_Google_Nearby_locations, RTX_The_League_One_Google_Competitor, RTX_The_League_One_Google_Chennai, Skyliving_Agency_Account, The_League_one_Agency_account, website, LML Skyliving Internal Google, Internal Search Campaign L1, SL Digital Google LP, L1 Digital Google LP, The League One Google PM camp, Skylving Google PM camp, Aug_SL_Search, Aug_L1_Search, L1_Digital_Google_LP, Luxe one branding and leads Sep camp, Luxe_one_oct, Luxe_one_nov"
"Facebook","Fb_leadgen_1021695752768063 LML League one-19-Sep24, Inhouse - Digital Incoming, Incoming Calls Digital, RTX League One Slide to Confirm questions Fb_leadgen_587367780563577, New Rich form Jan Fb_leadgen_1003328161627805, RTX Iconia Slide to Confirm questions Fb_leadgen_466099012962771, RTX Arshiya Slide to Confirm questions Fb_leadgen_1155589452799816, RTX League One Slide to Confirm questions Fb_leadgen_1329790004722701, RTX Sky Living intent form Fb_leadgen_1144486700755890, Sky living new page intent form with questions Fb_leadgen_1133065194936690, Fb_leadgen_1367679467877340, Fb_leadgen_1169606388051642, RTX League One, The League one March, RTX Gulf Campaign, LML Skyliving Internal 1, LML Skyliving Internal 2, Facebook chat, LML Internal May form, Fb_leadgen_RTX_Form, IT campaign, 1st time HB and Investor, General Campaign, July The League One Form, May form - copy, Tambaram Location and around, instagram, AA Camp Skyliving, AA Camp L1, Sep High Intent form L1, General Form Sep L1, General Camp Tambaram, Luxe Branding and Leads, Sai sample form (Ignore), New Luxe One form, Mahesh sir camp League one, Mahesh sir camp Luxe oct, Mahesh sir camp Skyliving"
"Outdoor","Hoardings"
"Digital - Ads","Fb & Google, SL Digital Agency, SL Digital Agency Incoming, Skyliving Digital Agency Incoming, The Luxe One Digital Incoming Call"
"Head Quarters - Sales","Incoming Calls"
"Postal Activity ",""
"Branding- Internal","Instagram"
"What's app ","Influencer"
"Luxe One WA/SMS","Whatsapp and SMS"
"E-mail","Bank employees"